,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Built_Type,Built_Size,Price_sqft,Price_room,Rooms_sqft
1293,damansara heights,22000000,8.0,12.0,13.0,Bungalow,Unknown,Land area,17000.0,1294.1176470588234,2750000.0,2125.0
1298,desa pandan,760000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1087.0,699.1720331186752,380000.0,543.5
1300,desa pandan,1050000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1410.0,744.6808510638298,525000.0,705.0
1301,ampang,630000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,856.0,735.981308411215,315000.0,428.0
1308,sentul,810000,3.0,3.0,2.0,Condominium,Partly Furnished,Built-up,1186.0,682.9679595278246,270000.0,395.3333333333333
1313,jalan klang lama (old klang road),690000,4.0,4.0,2.0,Condominium,Fully Furnished,Built-up,1615.0,427.24458204334366,172500.0,403.75
1315,bukit bintang,1285000,3.0,2.0,2.0,Serviced Residence,Fully Furnished,Built-up,1555.0,826.3665594855305,428333.3333333333,518.3333333333334
1321,taman desa,630000,3.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,935.0,673.7967914438502,210000.0,311.6666666666667
1327,kepong,465000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,930.0,500.0,155000.0,310.0
1329,mont kiara,3600000,4.0,4.0,4.0,Terrace/Link House,Fully Furnished,Land area,2000.0,1800.0,900000.0,500.0
1330,kepong,2660000,6.0,5.0,6.0,Bungalow,Partly Furnished,Land area,5000.0,532.0,443333.3333333333,833.3333333333334
1334,mont kiara,2700000,5.0,5.0,3.0,Semi-detached House,Fully Furnished,Land area,3220.0,838.5093167701864,540000.0,644.0
1341,bukit jalil,920000,3.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1170.0,786.3247863247864,306666.6666666667,390.0
1342,bukit jalil,800000,3.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1170.0,683.7606837606837,266666.6666666667,390.0
1343,bukit jalil,740000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,920.0,804.3478260869565,370000.0,460.0
1346,kl sentral,1380000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1500.0,920.0,460000.0,500.0
1348,cheras,280000,3.0,2.0,1.0,Apartment,Partly Furnished,Built-up,780.0,358.97435897435895,93333.33333333333,260.0
1349,sungai besi,560000,3.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1074.0,521.415270018622,186666.66666666666,358.0
1352,sentul,630000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,800.0,787.5,315000.0,400.0
1357,klcc,1295000,2.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1410.0,918.4397163120567,647500.0,705.0
1359,wangsa maju,1198000,5.0,3.0,3.0,Condominium,Partly Furnished,Built-up,2266.0,528.684907325684,239600.0,453.2
1373,klcc,1950000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1076.0,1812.267657992565,975000.0,538.0
1395,taman desa,585000,3.0,2.0,1.0,Serviced Residence,Unfurnished,Built-up,935.0,625.6684491978609,195000.0,311.6666666666667
